Node,SimClock,CoordX,CoordY,waitTime,clusterHeight,avgCluster, avgNodesPerCluster, FreeBufferSpacePercent, reward, iteration
w86,2000.0,2312.8532348364256,1126.9207622456315,2000.0,1.05,1.0,2.0,15.81034,-0.44703455999999997,1
c39,2000.0,1977.0525790940508,1135.485875468193,2000.0,1.05,2.0,1.0,21.03334,-0.36346656,1
c48,2000.0,2009.4143866334068,1486.9977397237205,2000.0,0.95,2.0,1.0,14.91868,-0.46130112,1
c41,2000.0,2200.625812532815,1757.3236231361343,2100.0,1.0,2.0,1.0,12.545799999999998,-0.4992672,1
w70,2000.0,1697.6351171618312,743.8273416424854,2100.0,0.95,1.0,2.0,11.19458,-1.5,1
c52,2000.6999999992759,2387.801417869772,1646.1043726303112,2100.0,0.95,2.0,1.0,17.27082,-0.42366687999999997,1
p0,2002.1999999992745,1993.1971498061296,1123.9833609397335,1900.0,1.0,2.0,1.0,22.9313,-0.3330992,1
c46,2002.699999999274,2201.026276749093,1757.900235596113,1900.0,1.0,2.0,1.0,12.545799999999998,-0.4992672,1
p3,2002.699999999274,1698.212166787193,756.7547508155079,2000.0,1.05,1.0,2.0,12.79186,-0.49533024000000003,1
p17,2002.9999999992738,2003.4640198755546,1478.7834737494964,2100.0,0.95,2.0,1.0,28.64408,-0.24169471999999997,1
c50,2004.2999999992726,2375.4957039514507,1654.626720723684,2100.0,1.0,2.0,1.0,17.27082,-0.42366687999999997,1
w66,2008.4999999992688,1964.514438034245,1425.014985545467,2000.0,1.0,2.0,1.0,32.4223,-0.1812432,1
t94,2016.4999999992615,2405.9528415569257,1457.7529738127805,2000.0,0.95,1.0,2.0,1.3580480000000001,-1.5,1
c30,2021.7999999992567,1588.118072091332,1059.7007289985136,1900.0,0.95,2.0,1.0,13.572500000000002,-0.48284,1
c42,2021.7999999992567,1055.0806110985632,869.7546889662218,2100.0,1.0,2.0,1.0,29.8701,-0.2220784,1
w73,2023.599999999255,2304.514382604921,2056.228173175665,2100.0,0.95,2.0,1.0,19.545460000000002,-0.38727263999999995,1
c38,2024.2999999992544,1053.9630945115457,869.0899428123265,2100.0,0.95,2.0,1.0,41.52734,-0.035562559999999965,1
w62,2024.5999999992541,1566.6947306800032,1036.945431083328,2100.0,1.0,2.0,1.0,13.572500000000002,-0.48284,1
p10,2026.899999999252,1336.2902398621563,1691.7635499231128,1900.0,1.0,2.0,1.0,32.50286,-0.17995424,1
p25,2027.5999999992514,2327.501926229098,2068.058440413501,2100.0,1.05,2.0,1.0,30.010599999999997,-0.21983040000000004,1
c55,2030.4999999992488,1326.2333823934478,1698.7532765766493,2100.0,0.95,2.0,1.0,17.91364,-0.41338176,1
w83,2041.5999999992387,2523.621895350626,1549.8055819254698,2000.0,0.95,2.0,1.0,17.69726,-0.41684383999999997,1
