Node,SimClock,CoordX,CoordY,waitTime,clusterHeight,avgCluster, avgNodesPerCluster, FreeBufferSpacePercent, reward, iteration
p6,2000.0999999992764,3078.393708827811,1738.839189053799,2000.0,1.0,2.0,1.0,40.700520000000004,-0.04879167999999984,1
c32,2000.0999999992764,3174.604250060649,1033.7958451681384,2100.0,1.0,1.0,2.0,12.107859999999999,-1.5,1
w56,2000.0999999992764,2401.5759645716075,1424.5715139418257,2100.0,1.05,2.0,1.0,30.86204,-0.20620735999999995,1
c29,2000.0999999992764,2214.9047002912284,1039.7628489467913,2100.0,0.95,2.0,1.0,19.61022,-0.38623648,1
c23,2000.0999999992764,3192.8508754773598,1043.9506006970812,1900.0,1.05,1.0,2.0,26.7065,-0.272696,1
p0,2002.5999999992741,3069.698907765269,1726.822804015855,1900.0,0.95,2.0,1.0,12.37668,-1.5,1
p5,2002.9999999992738,2399.0549941327217,1405.459832316973,2100.0,1.0,2.0,1.0,14.41954,-0.46928736,1
w59,2004.0999999992728,2222.1672621307794,1049.8564321174279,1900.0,1.0,2.0,1.0,48.63042,0.07808672000000016,1
c25,2004.3999999992725,3118.5927737384873,1845.5179668336496,1900.0,0.95,2.0,1.0,18.04674,-0.41125216,1
w43,2008.199999999269,3093.7385269991246,1831.766865204381,2000.0,1.0,2.0,1.0,18.04674,-0.41125216,1
w44,2016.6999999992613,3116.667099100072,1060.220097841695,1900.0,1.0,2.0,1.0,14.80456,-0.46312704,1
w53,2019.7999999992585,2543.699408331137,1818.379250602599,2100.0,1.05,2.0,1.0,12.62896,-0.49793664,1
c21,2019.8999999992584,1467.145952157235,736.265945675772,1900.0,1.05,2.0,1.0,13.454979999999999,-0.48472032,1
c33,2022.499999999256,2545.1238541900148,1839.274617144179,2000.0,1.0,2.0,1.0,41.12048,-0.042072319999999996,1
c31,2022.599999999256,1472.2191362935318,735.9660677050442,1900.0,1.05,2.0,1.0,13.454979999999999,-0.48472032,1
t64,2042.299999999238,2537.8747915536837,1744.5352610237005,1900.0,0.95,2.0,1.0,1.7789139999999999,-1.5,1
