Node,SimClock,CoordX,CoordY,waitTime,clusterHeight,avgCluster, avgNodesPerCluster, FreeBufferSpacePercent, reward, iteration
p2,2000.0999999992764,1481.9238676673228,616.1598354038567,2000.0,1.05,1.0,2.0,14.6728,-0.4652352,1
w22,2000.0999999992764,1492.8669560584392,608.5352619035632,1900.0,1.0,1.0,2.0,17.91364,-0.41338176,1
c11,2003.2999999992735,2208.5576251771677,1060.004280099078,1900.0,1.05,2.0,1.0,26.903779999999998,-0.26953952,1
t35,2007.5999999992696,1700.8775201510857,231.59266130978835,2100.0,1.0,1.0,2.0,2.8529519999999997,-1.5,1
t34,2007.5999999992696,1597.6723056279482,61.802104260936176,2100.0,1.05,1.0,2.0,3.102404,-1.5,1
w28,2008.5999999992687,1602.117731228714,741.8828988595911,2000.0,1.0,1.0,2.0,10.20798,-1.5,1
p0,2008.5999999992687,1572.1566789220815,741.272983174026,2100.0,1.0,1.0,2.0,12.02958,-1.5,1
c13,2015.6999999992622,2502.880584136111,757.3381629565505,1900.0,0.95,2.0,1.0,36.519459999999995,-0.11568864000000006,1
c14,2019.0999999992591,2487.694127513664,767.060673521826,2000.0,0.95,2.0,1.0,43.24838,-0.008025919999999964,1
c12,2034.2999999992453,1486.7836062594504,1143.8530197310183,2000.0,1.0,2.0,1.0,99.8193,-1.5,1
t32,2035.9999999992438,3977.902227187995,1303.2158723948523,1900.0,1.05,1.0,2.0,3.4809159999999997,-1.5,1
t33,2035.9999999992438,4126.677521245076,1170.1788760359425,1900.0,0.95,1.0,2.0,5.060408000000001,-1.5,1
p7,2038.1999999992418,1480.07030620165,1170.2062694667493,2100.0,1.0,2.0,1.0,18.88072,-0.39790847999999995,1
w23,2044.3999999992361,1658.4347178195176,743.0293410183956,2100.0,1.0,2.0,1.0,13.990079999999999,-0.47615872000000004,1
p8,2073.4999999992096,1692.1939000850978,743.7165750509329,2100.0,0.95,2.0,1.0,14.41954,-0.46928736,1
p6,2077.7999999992057,2622.722245491866,595.9604186870189,2000.0,1.05,1.0,2.0,45.41408,0.026625279999999973,1
w26,2141.6999999991476,2027.1010800159825,798.7357612158896,2000.0,0.95,2.0,1.0,33.18086,-0.16910624000000002,1
c19,2144.799999999145,2268.015152324393,2132.666265532908,2000.0,1.0,1.0,2.0,27.690199999999997,-0.25695680000000004,1
p9,2144.799999999145,2262.897891292515,2162.040476335752,1900.0,0.95,1.0,2.0,41.672019999999996,-0.033247679999999946,1
p1,2216.5999999990795,2311.7316776294842,1165.3138246113601,2100.0,0.95,2.0,1.0,69.48016,0.41168256000000003,1
p4,2217.299999999079,3312.696762654901,1120.009974412055,2100.0,1.05,2.0,1.0,15.09652,-0.45845568000000003,1
t31,2242.299999999056,2570.1361476824936,2162.5780687525053,1900.0,0.95,2.0,1.0,3.42639,-1.5,1
w25,2245.499999999053,2537.8558954637606,2166.126115543625,2100.0,0.95,2.0,1.0,77.33874,0.31290079999999953,1
c16,2253.0999999990463,1208.7411124502385,1752.4602749369458,2000.0,0.95,2.0,1.0,17.691399999999998,-0.4169376,1
t30,2311.899999998993,2546.388781311015,2165.188233210962,2100.0,1.0,2.0,1.0,6.610624,-1.5,1
c17,2312.799999998992,1917.7357164053951,1360.1458073708754,1900.0,0.95,2.0,1.0,82.24318000000001,-0.07945440000000037,1
w27,2316.8999999989883,1936.3754568394188,1386.1694048318482,2100.0,0.95,2.0,1.0,53.43694,0.15499104000000008,1
p5,2323.599999998982,1372.7847314989237,732.4262870348128,1900.0,0.95,2.0,1.0,57.52482,0.2203971200000001,1
c15,2612.1999999987197,2031.1180126559202,1517.5510969390896,2000.0,1.0,2.0,1.0,22.70868,-0.33666112,1
c10,2855.999999998498,2308.373639819472,814.1292833269438,2000.0,1.05,2.0,1.0,11.3732,-1.5,1
w20,3186.4999999981974,1864.002801761574,2323.525961574683,1900.0,0.95,2.0,1.0,11.16592,-1.5,1
w24,3244.199999998145,1034.6629764791758,550.8632020966836,1900.0,1.05,2.0,1.0,18.33796,-0.40659264000000006,1
w29,3306.3999999980883,2219.0937130926563,1045.2680771881573,1900.0,1.05,2.0,1.0,74.66402,0.49462432,1
p3,3816.899999997624,1185.654776642166,2279.418212871914,2100.0,1.05,2.0,1.0,28.70666,-0.24069343999999998,1
w21,3923.2999999975273,2336.589193816994,1720.521881621297,2100.0,1.0,2.0,1.0,24.53012,-0.30751807999999997,1
t33,3936.0999999975156,1575.2493536588736,0.0,1900.0,1.0,1.0,2.5,8.146754000000001,-1.5,2
t32,3936.0999999975156,1575.2493536588736,0.0,2000.0,1.1,1.0,2.5,10.030698000000001,-1.5,2
t35,4107.699999997412,2393.1414864552207,1360.6290503777564,2200.0,1.05,1.0,2.0,7.5308459999999995,-1.5,2
t34,4108.399999997415,2187.059941107513,1004.6886468354307,2000.0,1.05,1.5,1.5,11.958354,-1.0,2
t31,4142.3999999975385,2299.469351184422,1150.027824514087,1800.0,1.0,2.0,2.0,7.870731999999999,-1.0,2
c14,4156.099999997588,2265.02165433239,2451.5844599150255,2000.0,0.95,2.0,1.0,59.98182,0.2597091199999999,2
c19,4162.299999997611,2802.8724380316476,1251.2010427906253,2100.0,1.05,1.0,2.0,37.26756,-0.10371903999999993,2
p7,4181.29999999768,2158.020087245675,967.1026863950606,2100.0,0.95,2.0,1.0,61.0585,0.27693600000000007,2
w22,4181.6999999976815,2305.4601027993785,1869.8773945851651,1800.0,0.95,1.5,1.5,62.69802,0.8031683200000002,2
c11,4296.499999998099,1485.3789716130123,1583.130120803602,1900.0,1.0,2.0,1.0,26.903779999999998,-0.26953952,2
c12,4298.999999998108,1484.2125932794347,1581.4310043392404,1900.0,1.05,2.0,1.0,97.53385999999999,-1.5,2
p5,4335.599999998241,2141.4322103686736,1110.055468643166,2000.0,1.0,2.0,1.0,88.48396,-1.5,2
c18,4381.299999998408,1077.2263055826304,882.9278851448083,2000.0,0.95,2.0,1.0,18.76936,-0.39969024000000003,1
p4,4381.599999998409,2262.729391064949,1102.59760974188,2100.0,1.05,2.0,1.0,43.885600000000004,0.0021695999999999938,2
p1,4382.299999998411,2485.9121232951456,2288.4675054456407,2000.0,1.0,2.0,1.0,85.93122,-0.37449759999999976,2
w26,4406.499999998499,1127.0875549176353,1147.9028480897778,2000.0,0.9,2.0,1.0,70.35398,0.4256636800000002,2
t30,4411.999999998519,2881.241238099014,1401.9635715563986,2200.0,1.0,1.5,1.5,10.424762,-1.0,2
w25,4436.299999998608,1160.9530537723153,1867.2907524864706,2200.0,1.0,2.0,1.0,88.5856,-1.5,2
p9,4485.399999998786,2119.8936203839808,1099.6340164085868,1900.0,0.95,1.5,1.5,69.3979,0.9103664000000002,2
p6,4567.799999999086,3161.568466839388,2101.1727015066103,2000.0,1.0,1.5,1.5,62.18606,0.7949769600000001,2
c13,4571.399999999099,3173.3913226055047,2114.0442130660704,1800.0,0.95,2.0,1.0,95.38562,-1.5,2
c16,4728.499999999671,1657.4237179341847,1290.1155058457173,1900.0,0.9,2.0,1.0,36.02936,-0.12353023999999996,2
c17,4748.899999999745,3120.210432280637,744.8489574352809,2000.0,0.95,1.5,1.5,61.940220000000004,0.7910435200000001,2
p8,4779.499999999856,3315.349248461613,632.8759663552429,2200.0,0.95,2.0,1.0,67.63706,0.38219296000000025,2
w28,4802.799999999941,3112.653785774931,990.3630576522487,2100.0,0.95,1.5,1.5,39.5462,0.43273920000000005,2
c10,4903.100000000306,2808.052034552655,403.4579180759366,2100.0,1.0,1.5,1.5,48.667339999999996,0.5786774400000001,2
c15,5047.600000000832,2012.2095969208158,936.8972473750359,2000.0,0.95,2.0,1.0,89.50466,-1.5,2
w20,5206.60000000141,1134.5924682150326,1457.3122715469149,1800.0,0.95,2.0,1.0,36.34194,-0.11852895999999996,2
w29,5291.80000000172,1842.9630323085166,465.2406954881242,2000.0,1.0,2.0,1.0,86.6793,-0.4343439999999994,2
w27,5317.000000001812,2819.480399062765,1156.455166077198,2000.0,1.0,2.0,1.0,86.14248,-0.3913984000000008,2
